length,hydrophobic_ratio,polar_ratio,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,acr_type
1017,0.47984267453294,0.2015732546705998,0.11307767944936087,0.0019665683382497543,0.04031465093411996,0.0471976401179941,0.04523107177974434,0.07472959685349066,0.00983284169124877,0.06489675516224189,0.032448377581120944,0.1071779744346116,0.038348082595870206,0.02261553588987217,0.05211406096361849,0.046214355948869225,0.0599803343166175,0.05014749262536873,0.063913470993117,0.09931170108161258,0.011799410029498525,0.018682399213372666,unknown
301,0.3953488372093023,0.25249169435215946,0.10963455149501661,0.0,0.059800664451827246,0.0664451827242525,0.04318936877076412,0.08970099667774087,0.013289036544850499,0.03986710963455149,0.03986710963455149,0.08637873754152824,0.036544850498338874,0.04983388704318937,0.03986710963455149,0.05647840531561462,0.04318936877076412,0.0664451827242525,0.04983388704318937,0.06976744186046512,0.009966777408637873,0.029900332225913623,unknown
506,0.4644268774703557,0.2648221343873518,0.09090909090909091,0.001976284584980237,0.043478260869565216,0.03359683794466403,0.04743083003952569,0.07312252964426877,0.009881422924901186,0.06521739130434782,0.043478260869565216,0.12055335968379446,0.037549407114624504,0.04940711462450593,0.041501976284584984,0.05533596837944664,0.023715415019762844,0.06521739130434782,0.06719367588932806,0.09881422924901186,0.003952569169960474,0.02766798418972332,unknown
64,0.328125,0.265625,0.0625,0.0,0.03125,0.109375,0.03125,0.109375,0.0,0.0625,0.046875,0.046875,0.03125,0.109375,0.03125,0.015625,0.078125,0.09375,0.015625,0.078125,0.015625,0.03125,unknown
78,0.34615384615384615,0.28205128205128205,0.0641025641025641,0.0,0.02564102564102564,0.08974358974358974,0.038461538461538464,0.08974358974358974,0.01282051282051282,0.0641025641025641,0.0641025641025641,0.0641025641025641,0.038461538461538464,0.10256410256410256,0.02564102564102564,0.01282051282051282,0.0641025641025641,0.08974358974358974,0.02564102564102564,0.0641025641025641,0.01282051282051282,0.05128205128205128,unknown
87,0.3103448275862069,0.2988505747126437,0.034482758620689655,0.0,0.09195402298850575,0.14942528735632185,0.034482758620689655,0.034482758620689655,0.0,0.11494252873563218,0.09195402298850575,0.05747126436781609,0.022988505747126436,0.11494252873563218,0.0,0.011494252873563218,0.022988505747126436,0.09195402298850575,0.034482758620689655,0.034482758620689655,0.011494252873563218,0.04597701149425287,unknown
87,0.2988505747126437,0.367816091954023,0.011494252873563218,0.0,0.06896551724137931,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.0,0.11494252873563218,0.06896551724137931,0.05747126436781609,0.022988505747126436,0.13793103448275862,0.0,0.034482758620689655,0.022988505747126436,0.09195402298850575,0.05747126436781609,0.04597701149425287,0.011494252873563218,0.04597701149425287,unknown
87,0.3103448275862069,0.3563218390804598,0.022988505747126436,0.0,0.09195402298850575,0.11494252873563218,0.04597701149425287,0.05747126436781609,0.0,0.11494252873563218,0.05747126436781609,0.04597701149425287,0.022988505747126436,0.14942528735632185,0.0,0.022988505747126436,0.011494252873563218,0.10344827586206896,0.034482758620689655,0.04597701149425287,0.011494252873563218,0.04597701149425287,unknown
87,0.2988505747126437,0.367816091954023,0.022988505747126436,0.0,0.05747126436781609,0.14942528735632185,0.034482758620689655,0.034482758620689655,0.0,0.11494252873563218,0.06896551724137931,0.05747126436781609,0.022988505747126436,0.13793103448275862,0.0,0.034482758620689655,0.022988505747126436,0.09195402298850575,0.05747126436781609,0.034482758620689655,0.011494252873563218,0.04597701149425287,unknown
90,0.35555555555555557,0.23333333333333334,0.022222222222222223,0.0,0.13333333333333333,0.12222222222222222,0.06666666666666667,0.044444444444444446,0.011111111111111112,0.1111111111111111,0.06666666666666667,0.044444444444444446,0.022222222222222223,0.06666666666666667,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.03333333333333333,0.05555555555555555,0.07777777777777778,0.011111111111111112,0.06666666666666667,unknown
86,0.313953488372093,0.313953488372093,0.023255813953488372,0.0,0.08139534883720931,0.12790697674418605,0.05813953488372093,0.046511627906976744,0.023255813953488372,0.08139534883720931,0.08139534883720931,0.046511627906976744,0.023255813953488372,0.10465116279069768,0.0,0.023255813953488372,0.011627906976744186,0.08139534883720931,0.05813953488372093,0.06976744186046512,0.011627906976744186,0.046511627906976744,unknown
151,0.3443708609271523,0.2980132450331126,0.059602649006622516,0.0,0.11920529801324503,0.10596026490066225,0.046357615894039736,0.046357615894039736,0.006622516556291391,0.09933774834437085,0.059602649006622516,0.046357615894039736,0.026490066225165563,0.08609271523178808,0.0,0.019867549668874173,0.019867549668874173,0.06622516556291391,0.06622516556291391,0.059602649006622516,0.006622516556291391,0.059602649006622516,unknown
86,0.3023255813953488,0.313953488372093,0.023255813953488372,0.0,0.08139534883720931,0.12790697674418605,0.05813953488372093,0.05813953488372093,0.023255813953488372,0.08139534883720931,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.11627906976744186,0.0,0.023255813953488372,0.023255813953488372,0.08139534883720931,0.046511627906976744,0.05813953488372093,0.011627906976744186,0.046511627906976744,unknown
87,0.3333333333333333,0.3333333333333333,0.022988505747126436,0.0,0.08045977011494253,0.11494252873563218,0.04597701149425287,0.05747126436781609,0.0,0.11494252873563218,0.05747126436781609,0.05747126436781609,0.022988505747126436,0.13793103448275862,0.0,0.022988505747126436,0.022988505747126436,0.08045977011494253,0.04597701149425287,0.05747126436781609,0.011494252873563218,0.04597701149425287,unknown
86,0.3023255813953488,0.313953488372093,0.023255813953488372,0.0,0.08139534883720931,0.12790697674418605,0.05813953488372093,0.05813953488372093,0.023255813953488372,0.08139534883720931,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.12790697674418605,0.0,0.023255813953488372,0.023255813953488372,0.08139534883720931,0.03488372093023256,0.05813953488372093,0.011627906976744186,0.046511627906976744,unknown
